v8-version,6,1,534,50,0
shared-library,"/Users/taojunlong/.nvm/versions/node/v8.9.4/bin/node",0x100001800,0x100bbb69a,0
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4fa135b0,0x7fff4fbaa536,608329728
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff78c8594c,0x7fff78c85b2e,608329728
shared-library,"/usr/lib/libc++.1.dylib",0x7fff78ec8750,0x7fff78f109f8,608329728
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff7a67f1c0,0x7fff7a6a037e,608329728
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff78845fb6,0x7fff78846956,608329728
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff79b3ded8,0x7fff79d27ae3,608329728
shared-library,"/usr/lib/libz.1.dylib",0x7fff7b555380,0x7fff7b560bd5,608329728
shared-library,"/usr/lib/libc++abi.dylib",0x7fff78f1c1d0,0x7fff78f2b286,608329728
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7bd43b2c,0x7fff7bd4656d,608329728
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff7bd48c5c,0x7fff7bd51c8e,608329728
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7bd53ecc,0x7fff7bd58a3c,608329728
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7bd5bee8,0x7fff7bd631fc,608329728
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff7bd65f80,0x7fff7bdcb7be,608329728
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7be70e64,0x7fff7be9ebd0,608329728
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff7beaad54,0x7fff7becfbff,608329728
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff7bed7a48,0x7fff7bed7e90,608329728
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff7bee5fc0,0x7fff7bee5fc0,608329728
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff7bee7530,0x7fff7beeb9ab,608329728
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7beecfed,0x7fff7beeeac0,608329728
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7beef9a8,0x7fff7bef0c71,608329728
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7bef2640,0x7fff7bf07132,608329728
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7bf0989a,0x7fff7bf09cee,608329728
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff7bf0ac04,0x7fff7bf8a1ec,608329728
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff7bf92f88,0x7fff7bf956d0,608329728
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff7bf970b0,0x7fff7bf9933c,608329728
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff7bf9b6d8,0x7fff7bf9eb96,608329728
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff7bfa1f8c,0x7fff7bfa64b0,608329728
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff7bfa9230,0x7fff7bfef890,608329728
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff7c01d640,0x7fff7c04e09c,608329728
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff7c06a5dc,0x7fff7c08789a,608329728
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff7c08eb2a,0x7fff7c096c14,608329728
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff7c09a74c,0x7fff7c0a0840,608329728
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff7c0b6ac0,0x7fff7c0b94b0,608329728
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff7c0bb2e2,0x7fff7c0bc3ec,608329728
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7bff5010,0x7fff7c0143d1,608329728
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff7c0a2560,0x7fff7c0a8570,608329728
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff7c0aba7c,0x7fff7c0b3adf,608329728
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff7c0bd9bc,0x7fff7c0c32ee,608329728
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff7c0c6cf8,0x7fff7c0d7dff,608329728
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff7c0dca04,0x7fff7c0e12a5,608329728
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff7c0e3cc4,0x7fff7c106856,608329728
shared-library,"/System/Library/CoreServices/Encodings/libSimplifiedChineseConverter.dylib",0x7fff444c23a0,0x7fff444c40d0,608329728
tick,0x7fff7beac31d,1449,0,0x0,4
profiler,"begin",1000
tick,0x7fff7bff6a1e,2696,0,0x0,1
tick,0x7fff7c0a2d2d,3996,0,0x0,4
tick,0x10086fe8f,5151,0,0x0,4
tick,0x7fff7c0a2e20,6444,0,0x0,4
tick,0x7fff7c0a2e1c,7681,0,0x0,4
tick,0x7fff7c0a2e1c,8967,0,0x0,4
tick,0x10086f553,10261,0,0x0,4
tick,0x7fff7c0a2e20,11309,0,0x0,4
tick,0x100674a20,12335,0,0x0,4
code-creation,Stub,3,13127,0x3b7ad9004000,342,"JSEntryStub"
code-creation,Stub,3,13172,0x3b7ad9004160,342,"JSEntryStub"
code-creation,Builtin,5,13199,0x3b7ad90042c0,134,"EmptyFunction"
code-creation,Stub,3,13222,0x3b7ad9004360,382,"CEntryStub"
code-creation,Builtin,5,13259,0x3b7ad90044e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,13284,0x3b7ad9004580,382,"CEntryStub"
code-creation,Builtin,5,13301,0x3b7ad9004700,923,"CompileLazy"
code-creation,Stub,3,13318,0x3b7ad9004aa0,1358,"RecordWriteStub"
code-creation,Stub,3,13335,0x3b7ad9005000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,13352,0x3b7ad90050c0,1386,"RecordWriteStub"
code-creation,Builtin,5,13400,0x3b7ad9005640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,13441,0x3b7ad90057c0,1085,"FastNewObject"
code-creation,Builtin,5,13466,0x3b7ad9005c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,13489,0x3b7ad9005d60,2266,"RecordWriteStub"
code-creation,Stub,3,13512,0x3b7ad9006640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,13536,0x3b7ad90067e0,2317,"RecordWriteStub"
code-creation,Stub,3,13558,0x3b7ad9007100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,13581,0x3b7ad9007180,2295,"RecordWriteStub"
code-creation,Stub,3,13604,0x3b7ad9007a80,2265,"RecordWriteStub"
code-creation,Stub,3,13622,0x3b7ad9008360,2257,"RecordWriteStub"
code-creation,Stub,3,13641,0x3b7ad9008c40,2269,"RecordWriteStub"
code-creation,Stub,3,13658,0x3b7ad9009520,2284,"RecordWriteStub"
code-creation,Stub,3,13676,0x3b7ad9009e20,2254,"RecordWriteStub"
code-creation,Stub,3,13693,0x3b7ad900a700,2250,"RecordWriteStub"
code-creation,Stub,3,13711,0x3b7ad900afe0,2254,"RecordWriteStub"
code-creation,Stub,3,13729,0x3b7ad900b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,13746,0x3b7ad900c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,13764,0x3b7ad900c480,2266,"RecordWriteStub"
code-creation,Stub,3,13782,0x3b7ad900cd60,2292,"RecordWriteStub"
code-creation,Stub,3,13800,0x3b7ad900d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,13818,0x3b7ad900d920,980,"RecordWriteStub"
code-creation,Stub,3,13836,0x3b7ad900dd00,2254,"RecordWriteStub"
code-creation,Stub,3,13853,0x3b7ad900e5e0,404,"CEntryStub"
code-creation,Stub,3,13871,0x3b7ad900e780,980,"RecordWriteStub"
code-creation,Stub,3,13888,0x3b7ad900eb60,992,"RecordWriteStub"
code-creation,Stub,3,13906,0x3b7ad900ef40,2288,"RecordWriteStub"
code-creation,Stub,3,13942,0x3b7ad900f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,14001,0x3b7ad900f980,1373,"RecordWriteStub"
code-creation,Stub,3,14068,0x3b7ad900fee0,2253,"RecordWriteStub"
code-creation,Stub,3,14091,0x3b7ad90107c0,2253,"RecordWriteStub"
code-creation,Stub,3,14109,0x3b7ad90110a0,2265,"RecordWriteStub"
code-creation,Stub,3,14126,0x3b7ad9011980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,14143,0x3b7ad9011b60,1019,"CallICStub"
code-creation,Builtin,5,14160,0x3b7ad9011f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,14218,0x3b7ad90120e0,459,"ToObject"
code-creation,Stub,3,14249,0x3b7ad90122c0,2250,"RecordWriteStub"
code-creation,Stub,3,14269,0x3b7ad9012ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,14288,0x3b7ad9012d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,14307,0x3b7ad9012ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,14325,0x3b7ad9013020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,14342,0x3b7ad9013160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,14360,0x3b7ad90132a0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,14378,0x3b7ad90133e0,121,"Abort"
tick,0x1002a78fa,14407,0,0x0,4
tick,0x7fff7bff7f1e,14437,0,0x0,4
code-creation,Stub,3,14461,0x3b7ad9013460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,14494,0x3b7ad9013660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,14503,0x3b7ad9013840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,14510,0x3b7ad9013a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,14517,0x3b7ad9013be0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,14524,0x3b7ad9013da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,14531,0x3b7ad9013ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,14538,0x3b7ad90140a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,14545,0x3b7ad90141a0,249,"CallBoundFunction"
